prod_cat,total_kg_co2e,spend,co2e_per_dollar
27,86490.9251149685,77127.0309,1.121408721504
26,48011.89423741499,55045.066699999996,0.8722288320420002
19,40724.62123603286,34515.94,1.1798786658
17,31040.125969565273,41171.69,0.753919160704
35,20189.146612697437,19229.5603,1.0499016252959998
1,5691.683640063751,15168.75,0.37522430260000006
29,5575.031624802435,12464.93,0.44725735522
18,5391.889621566576,58689.66,0.0918712022112
8,4081.3893750127636,29600.65,0.1378817483742
7,3417.8434392069985,44519.892,0.076771152976
4,3222.9608065641,14887.5,0.216487711608
10,2571.8589932812924,21126.871,0.121734022671
9,2382.697079173455,29514.36,0.08073009474619999
34,2229.4594323750916,7534.88,0.29588519424000004
24,2139.5761298383613,53724.57,0.03982490934479999
15,1808.1366931174114,39653.4371,0.0455984859158
16,1788.859759111459,33715.2367,0.053057903019600006
22,1572.6723696020522,18258,0.086136070194
12,1464.616340823301,14809.3004,0.09889841527040001
6,1403.3326886762472,23022.452,0.060954962081200006
21,1002.7895460696326,22753.895,0.0440711160032
5,974.0224628461114,9479.55,0.1027498628992
23,910.2881724738975,750.25,1.21331312559
2,899.287912101613,20581.8291,0.0436932941058
36,829.3011496353314,13848.14,0.059885381692800006
31,684.65425103856,2970,0.230523316848
13,583.225473747,2679.25,0.21768236400000002
25,529.551007713107,40165.52,0.01318421889504
32,523.3045276484613,6842.25,0.0764813515508
11,400.5735318823,11255.05,0.0355905599604
30,297.426293831879,4321.25,0.0688287633976
28,205.12776922253883,4829.64,0.042472683103199994
33,106.87858048530434,2041.2,0.05236066063360001
3,83.60901525679004,2639.5023,0.0316760531926
20,33.94878027717284,793.6800000000001,0.04277388907011999
14,24.759844258189897,244.25,0.10137090791479998
